Text,Generated Summary,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-2 Precision,ROUGE-2 Recall,ROUGE-2 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1
bought several vitality canned dog food product found good quality product look like stew processed meat smell better labrador finicky appreciates product better,Summary: good dog food,0.75,0.75,0.749999995,0.3333333333333333,0.3333333333333333,0.3333333283333334,0.75,0.75,0.749999995
product arrived labeled jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo,salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo salted peanutsthe peanut actually small sized unsalted sure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confection around century light pillowy citrus gelatin nut case filbert cut tiny square liberally coated powdered sugar tiny mouthful heaven chewy flavorful highly recommend yummy treat familiar story c lewis lion witch wardrobe treat seduces edmund selling brother sister witch,Summary: yummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
looking secret ingredient robitussin believe found got addition root beer extract ordered good made cherry soda flavor medicinal,Summary: good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
great taffy great price wide assortment yummy taffy delivery quick taffy lover deal,Summary: yummy yummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
got wild hair taffy ordered five pound bag taffy enjoyable many flavor watermelon root beer melon peppermint grape etc complaint bit much redblack licoriceflavored piece particular favorite kid husband lasted two week would recommend brand taffy delightful treat,Summary: delicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saltwater taffy great flavor soft chewy candy individually wrapped well none candy stuck together happen expensive version fralingers would highly recommend candy served beachthemed party everyone loved,Summary: great candy,0.3333333333333333,0.25,0.2857142808163266,0.0,0.0,0.0,0.3333333333333333,0.25,0.2857142808163266
taffy good soft chewy flavor amazing would definitely recommend buying satisfying,"snack
Summary: great soft chewy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right im mostly sprouting cat eat grass love rotate around wheatgrass rye,Summary: dog love,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy dog food good digestion also good small puppy dog eats required amount every feeding,Summary: dog food good digestion,0.4,0.6666666666666666,0.49999999531250006,0.25,0.5,0.33333332888888895,0.4,0.6666666666666666,0.49999999531250006
